sku,name,calories_per_dollar,dollars_per_calorie,price_usd,calories_per_container,calories_per_serving,servings_per_container,dollars_per_serving
094513,CINNAMON CRUMB COFFEE CAKE,687.6790830945558,0.0014541666666666668,3.49,2400.0,150.0,16.0,0.218125
006204,MILK GALLON WHOLE,687.6790830945558,0.0014541666666666668,3.49,2400.0,150.0,16.0,0.218125
077605,MILK GALLON WHOLE,687.6790830945558,0.0014541666666666668,3.49,2400.0,150.0,16.0,0.218125
063382,JOE JOES SLIMS CHOCOLATE VANILLA,678.391959798995,0.001474074074074074,1.99,1350.0,150.0,9.0,0.22111111111111112
076715,PIE CRUSTS,677.0601336302896,0.0014769736842105263,4.49,3040.0,190.0,16.0,0.280625
056565,FLAXSEED MEAL ORGANIC GROUND,676.6917293233082,0.001477777777777778,3.99,2700.0,90.0,30.0,0.133
050443,OATMEAL CANISTER ORG MULTIGRN,676.5799256505576,0.001478021978021978,2.69,1820.0,130.0,14.0,0.19214285714285714
010592,CRUSHED WHEAT SOURDOUGH BREAD,674.6987951807229,0.0014821428571428572,2.49,1680.0,70.0,24.0,0.10375000000000001
020796,DARK RYE SOURDOUGH BREAD,674.6987951807229,0.0014821428571428572,2.49,1680.0,70.0,24.0,0.10375000000000001
010591,SOURDOUGH BREAD,674.6987951807229,0.0014821428571428572,2.49,1680.0,70.0,24.0,0.10375000000000001
093487,PASTA LASAGNA NOODLES NO BOIL,674.6987951807229,0.0014821428571428572,2.49,1680.0,210.0,8.0,0.31125
060943,PASTA ORG ITALIAN ORECCHIETTE,669.1449814126394,0.0014944444444444445,2.69,1800.0,200.0,9.0,0.29888888888888887
092394,CORN TORTILLAS,666.6666666666666,0.0015,0.99,660.0,110.0,6.0,0.165
065545,PANCAKES TAIWANESE GREEN ONION,662.6506024096385,0.0015090909090909091,2.49,1650.0,330.0,5.0,0.49800000000000005
094662,TJ'S FROSTED FLAKES,662.6506024096385,0.0015090909090909091,2.49,1650.0,150.0,11.0,0.22636363636363638
093094,BEER BREAD MIX,662.2073578595317,0.0015101010101010101,2.99,1980.0,110.0,18.0,0.16611111111111113
098901,EV OLIVE OIL PREMIUM WITH POUR SPOUT,655.724579663731,0.001525030525030525,12.49,8190.0,130.0,63.0,0.19825396825396827
068445,HOL TORTILLA CHIPS FESTIVE,655.5183946488294,0.0015255102040816328,2.99,1960.0,140.0,14.0,0.21357142857142858
078941,EV OLIVE OIL BLEND WITH SPOUT LITER,643.7149719775821,0.0015534825870646765,12.49,8040.0,120.0,67.0,0.1864179104477612
094209,HOT DOG BUNS,643.2160804020101,0.0015546874999999999,1.99,1280.0,160.0,8.0,0.24875
036592,TJ'S O'S JOE'S,643.2160804020101,0.0015546874999999999,1.99,1280.0,160.0,8.0,0.24875
063262,ALMOND CREAMER CHOCOLATE PEPPERMINT,643.2160804020101,0.0015546874999999999,1.99,1280.0,40.0,32.0,0.0621875
075229,PASTA MAFALDA CORTA ORGANIC,642.5702811244979,0.0015562500000000001,2.49,1600.0,200.0,8.0,0.31125
073331,PASTA HEART SHAPED,642.5702811244979,0.0015562500000000001,2.49,1600.0,200.0,8.0,0.31125
071878,PASTA WORLD'S LARGEST FUSILLI,642.5702811244979,0.0015562500000000001,2.49,1600.0,200.0,8.0,0.31125
098715,SOFT WHOLE WHEAT BREAD,642.5702811244979,0.0015562500000000001,2.49,1600.0,80.0,20.0,0.12450000000000001
064058,PASTA ORG BROWN RICE PENNE,642.5702811244979,0.0015562500000000001,2.49,1600.0,200.0,8.0,0.31125
070355,PASTA TRICOLOR SPAGHETTI ORGANIC,642.5702811244979,0.0015562500000000001,2.49,1600.0,200.0,8.0,0.31125
099249,GOURMET WHITE BREAD,642.1404682274247,0.001557291666666667,2.99,1920.0,120.0,16.0,0.186875
057698,DRESSING ROMANO CAESAR,642.1404682274247,0.001557291666666667,2.99,1920.0,160.0,12.0,0.24916666666666668
099248,MULTIGRAIN BREAD,642.1404682274247,0.001557291666666667,2.99,1920.0,120.0,16.0,0.186875
004856,OATMEAL CANISTER ORG OLD FASHN,642.1404682274247,0.001557291666666667,2.99,1920.0,160.0,12.0,0.24916666666666668
099244,BUTTERMILK BREAD,642.1404682274247,0.001557291666666667,2.99,1920.0,120.0,16.0,0.186875
076513,ORG BROWN SUGAR,639.0977443609022,0.0015647058823529414,3.99,2550.0,30.0,85.0,0.046941176470588236
079983,MILK HALF GALLON WHOLE,634.9206349206349,0.001575,1.89,1200.0,150.0,8.0,0.23625
073022,JOE JOES STRAWBERRY LEMONADE,633.2378223495701,0.001579185520361991,3.49,2210.0,130.0,17.0,0.20529411764705885
030744,CANADIAN WHITE BREAD,631.9702602230483,0.0015823529411764707,2.69,1700.0,100.0,17.0,0.15823529411764706
053444,PB ORG CRUNCHY SALTED,631.578947368421,0.0015833333333333333,3.99,2520.0,180.0,14.0,0.28500000000000003
077295,CHEESECAKE LEMON GINGER,631.578947368421,0.0015833333333333333,3.99,2520.0,420.0,6.0,0.665
053445,PB ORG CRUNCHY NO SALT ADDED,631.578947368421,0.0015833333333333333,3.99,2520.0,180.0,14.0,0.28500000000000003
098570,WHOLE WHEAT TUSCAN PANE,630.8243727598566,0.0015852272727272729,2.79,1760.0,110.0,16.0,0.174375
018024,SHREDDED MINI FROSTED WHEAT,630.3724928366762,0.0015863636363636364,3.49,2200.0,200.0,11.0,0.3172727272727273
092402,ORGANIC FLOUR & CORN TORTILLAS,624.5353159851301,0.0016011904761904763,2.69,1680.0,140.0,12.0,0.22416666666666665
075216,MATZOH FOR PASSOVER TJ,624.5353159851301,0.0016011904761904763,2.69,1680.0,120.0,14.0,0.19214285714285714
092050,LONGBOARD ORG TORILLA CHIPS,624.5353159851301,0.0016011904761904763,2.69,1680.0,140.0,12.0,0.22416666666666665
164029,EVOO MEDITERRANEAN SPAIN,620.0607902735562,0.0016127450980392157,3.29,2040.0,120.0,17.0,0.1935294117647059
364029,EVOO MEDITERRANEAN GREECE,620.0607902735562,0.0016127450980392157,3.29,2040.0,120.0,17.0,0.1935294117647059
264029,EVOO MEDITERRANEAN ITALY,620.0607902735562,0.0016127450980392157,3.29,2040.0,120.0,17.0,0.1935294117647059
063729,ORGANIC 9-GRAIN BREAD,617.7606177606178,0.0016187499999999997,2.59,1600.0,100.0,16.0,0.161875
097023,HAMBURGER BUNS,615.3846153846154,0.0016250000000000001,2.99,1840.0,230.0,8.0,0.37375
057070,ORG UNSWEETENED COCONUT CHIPS,610.4417670682731,0.0016381578947368422,2.49,1520.0,190.0,8.0,0.31125
034765,ORGANIC SOFT WHITE BREAD,609.3189964157706,0.0016411764705882353,2.79,1700.0,100.0,17.0,0.16411764705882353
075748,BAKING CELEBRATION BAKING MIX,609.2184368737475,0.0016414473684210527,4.99,3040.0,190.0,16.0,0.311875
057959,ORGANIC SEEDED BREAD,607.0460704607046,0.0016473214285714285,3.69,2240.0,140.0,16.0,0.230625
059622,LOVERS BAR MILK CHOC 45%,606.0606060606061,0.0016499999999999998,0.99,600.0,200.0,3.0,0.33
071891,HOL PUMPKIN OAT BEVERAGE,606.0606060606061,0.0016499999999999998,0.99,600.0,150.0,4.0,0.2475
